review_text,sentiment,review_length,word_count,rating,helpfulness_score,verified_purchase,date
"Good product, good seller.",1,26,4,5,35.26113835870349,0,2023-01-12 16:00:00
I love this bluetooth!,1,22,4,5,57.4323583777488,1,2023-01-12 17:00:00
"First of all, it doesn't wear well.",0,35,7,4,42.56311574676219,1,2023-01-12 18:00:00
I am very impressed with this headset from Plantronics.,1,55,9,5,41.494155847484926,1,2023-01-12 19:00:00
I got it because it was so small and adorable.,1,46,10,4,45.567531158485124,1,2023-01-12 20:00:00
Great phone!.,1,13,2,5,31.408979003251652,0,2023-01-12 21:00:00
I wouldn't recommend buying this product.,0,41,6,2,34.98850106268238,1,2023-01-12 22:00:00
Piece of Junk.,0,14,3,3,52.141008492791116,1,2023-01-12 23:00:00
Poorly contstruct hinge.,0,24,3,3,32.483960037753796,0,2023-01-13 00:00:00
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,118,22,5,48.09456328399165,0,2023-01-13 01:00:00
Great Phone.,1,12,2,5,37.36047329043963,1,2023-01-13 02:00:00
Don't buy it.,0,13,3,2,41.678868421259295,0,2023-01-13 03:00:00
Excellent Phone.,1,16,2,5,38.660812103120996,0,2023-01-13 04:00:00
DO NOT PURCHASE THIS PHONE.,0,27,5,2,40.670181493948476,0,2023-01-13 05:00:00
The voice recognition thru the handset is excellent.,1,52,8,4,51.571377155527365,0,2023-01-13 06:00:00
This is hands down the best phone I've ever had.,1,48,10,5,38.91365146869525,0,2023-01-13 07:00:00
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,111,18,5,46.99213920890692,0,2023-01-13 08:00:00
This one works and was priced right.,1,36,7,5,44.28151206597299,0,2023-01-13 09:00:00
Customer service was terrible.,0,30,4,3,49.91013496087945,0,2023-01-13 10:00:00
Battery life still not long enough in Motorola Razor V3i.,0,57,10,3,58.10489217974274,1,2023-01-13 11:00:00
Sending it back.,0,16,3,4,51.977162916307506,0,2023-01-13 12:00:00
Now I know that I made a wise decision.,1,39,9,4,36.448211357722705,0,2023-01-13 13:00:00
Someone shouldve invented this sooner.,1,38,5,4,30.93549405183854,0,2023-01-13 14:00:00
Good price.,1,11,2,4,37.867921328994754,1,2023-01-13 15:00:00
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,119,19,4,47.852337921007646,0,2023-01-13 16:00:00
I received it quickly and it works great!!,1,42,8,5,31.54277440452751,0,2023-01-13 17:00:00
Has been working great.,1,23,4,4,44.89098741603709,1,2023-01-13 18:00:00
"As many people complained, I found this headset's microphone was very weak.",0,75,12,4,47.90528546750667,1,2023-01-13 19:00:00
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,79,15,4,40.02731672450882,0,2023-01-13 20:00:00
They do not care about the consumer one bit.,0,44,9,2,53.12736611237466,1,2023-01-13 21:00:00
"This is a good battery, and it got here really fast.",1,52,11,4,33.19794759401316,0,2023-01-13 22:00:00
The instruction manual is lacking.,0,34,5,4,32.254133452074264,0,2023-01-13 23:00:00
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,90,16,5,51.8456626861081,0,2023-01-14 00:00:00
Phone now holds charge like it did when it was new.,1,51,11,5,44.864739486185954,0,2023-01-14 01:00:00
The battery is unreliable as well as the service use antena.,0,60,11,4,50.65207189283208,1,2023-01-14 02:00:00
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,146,25,3,43.04482015811239,0,2023-01-14 03:00:00
We have gotten a lot of compliments on it.,1,42,9,5,37.3920609971732,0,2023-01-14 04:00:00
This is definitely a must have if your state does not allow cell phone usage while driving.,1,91,17,5,54.57306953022599,1,2023-01-14 05:00:00
I want my money back.,0,21,5,3,53.982476369069374,1,2023-01-14 06:00:00
I love this device.,1,19,4,5,50.8408941256328,0,2023-01-14 07:00:00
I am also very happy with the price.,1,36,8,4,38.16435411689888,1,2023-01-14 08:00:00
I ordered this product first and was unhappy with it immediately.,0,65,11,4,47.706920006072615,0,2023-01-14 09:00:00
The Ngage is still lacking in earbuds.,0,38,7,3,40.829216908200806,1,2023-01-14 10:00:00
I was able to do voice dialing in the car with no problem.,1,58,13,5,32.747462199799024,1,2023-01-14 11:00:00
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,80,18,4,57.51940726386728,1,2023-01-14 12:00:00
"good item, low price.",1,21,4,5,34.104558927568846,0,2023-01-14 13:00:00
"However-the riingtones are not the best, and neither are the games.",0,67,11,2,58.50712061462407,0,2023-01-14 14:00:00
The plug did not work very well.,0,32,7,3,43.380173188738674,0,2023-01-14 15:00:00
AMAZON SUCKS.,0,13,2,2,35.55398786515859,0,2023-01-14 16:00:00
Rip off---- Over charge shipping.,0,33,5,4,46.25702842135074,0,2023-01-14 17:00:00
VERY comfortable.,1,17,2,4,56.188375076292246,1,2023-01-14 18:00:00
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,104,20,4,51.96674659228684,0,2023-01-14 19:00:00
The reception is excellent!,1,27,4,4,54.19683443584349,0,2023-01-14 20:00:00
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,102,20,5,49.76350100132152,1,2023-01-14 21:00:00
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,129,25,5,50.768296935535574,0,2023-01-14 22:00:00
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,99,18,2,55.47586954695958,1,2023-01-14 23:00:00
Obviously there is a problem with the adhesive.,0,47,8,2,37.490040265775576,0,2023-01-15 00:00:00
Very disappointing.,0,19,2,3,44.68274890929422,0,2023-01-15 01:00:00
"It was an inexpensive piece, but I would still have expected better quality.",0,76,13,2,36.636283254588065,0,2023-01-15 02:00:00
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,94,19,3,59.630040239899415,0,2023-01-15 03:00:00
Excellent sound quality.,1,24,3,4,58.321780190598396,1,2023-01-15 04:00:00
Was not happy.,0,14,3,3,31.182804341055178,0,2023-01-15 05:00:00
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,64,14,4,51.16725517547066,0,2023-01-15 06:00:00
New Battery works great in phone.,1,33,6,4,57.757449522469976,0,2023-01-15 07:00:00
Worst customer service.,0,23,3,2,35.417260353820005,0,2023-01-15 08:00:00
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,111,22,4,47.038356916578884,1,2023-01-15 09:00:00
Reception is terrible and full of static.,0,41,7,2,57.46464892764126,0,2023-01-15 10:00:00
Good audio quality.,1,19,3,5,31.018379357573966,1,2023-01-15 11:00:00
This little device has transformed my organizational capability and made my life a whole lot easier.,1,100,16,4,50.922608017405196,1,2023-01-15 12:00:00
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,85,17,4,38.92047022117652,0,2023-01-15 13:00:00
Were JERKS on the phone.,0,24,5,4,57.73188586129591,1,2023-01-15 14:00:00
Works like a charm.. Works as advertised.,1,41,7,4,59.131747354961036,0,2023-01-15 15:00:00
"Comfortable, Nice Range, Good Battery Life.",1,43,6,5,58.32799467340302,0,2023-01-15 16:00:00
Their network coverage in Los Angeles is horrible.,0,50,8,2,44.226426499723914,0,2023-01-15 17:00:00
Excellent starter wireless headset.,0,35,4,2,55.86127952967941,1,2023-01-15 18:00:00
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,83,14,4,55.33648195605211,1,2023-01-15 19:00:00
The only thing that I think could improve is the sound leaks out from the headset.,0,82,16,2,39.57301419729767,0,2023-01-15 20:00:00
"First off the reception sucks, I have never had more than 2 bars, ever.",0,71,14,4,54.86746422452032,1,2023-01-15 21:00:00
The phone gets EXTREMELY HOT!,0,29,5,3,31.110229041464777,0,2023-01-15 22:00:00
"The microphone also works well, but (according to people I have called) it applifies everything.",1,96,15,4,47.888096354461595,0,2023-01-15 23:00:00
Nice design and quality.,1,24,4,5,36.90026511863109,0,2023-01-16 00:00:00
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,100,19,4,33.61700657331836,1,2023-01-16 01:00:00
"It is light, easy to use, and has very clear reception and transmission.",1,72,13,5,32.308596048876275,1,2023-01-16 02:00:00
"bad fit, way too big.",0,21,5,3,50.88866327634419,0,2023-01-16 03:00:00
It definitely was not as good as my S11.,1,40,9,5,40.196248913041984,0,2023-01-16 04:00:00
awesome device.,1,15,2,5,51.74300314586284,0,2023-01-16 05:00:00
Waste of money.,0,15,3,3,31.96069022396827,0,2023-01-16 06:00:00
"I had ordered a motorola data cable, got a very well finished and working product.",1,82,15,5,39.458710134918306,0,2023-01-16 07:00:00
Love This Phone.,1,16,3,5,46.184738771260115,1,2023-01-16 08:00:00
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,94,20,5,53.721694945168906,0,2023-01-16 09:00:00
"I'll be drivng along, and my headset starts ringing for no reason.",0,66,12,3,39.562575087962095,0,2023-01-16 10:00:00
Display is excellent and camera is as good as any from that year.,1,65,13,5,48.77674129311028,0,2023-01-16 11:00:00
Battery life is also great!,1,27,5,5,56.57933244708562,1,2023-01-16 12:00:00
The worst phone I've ever had.... Only had it for a few months.,0,63,13,3,48.47589564546914,1,2023-01-16 13:00:00
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,100,19,3,36.988784242609015,0,2023-01-16 14:00:00
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,87,20,3,30.73202344669614,1,2023-01-16 15:00:00
Protects the phone on all sides.,1,32,6,4,56.1029662170279,0,2023-01-16 16:00:00
This is a VERY average phone with bad battery life that operates on a weak network.,0,83,16,2,30.638082325511615,0,2023-01-16 17:00:00
"Clear Skype Calls, Long Battery Life, Long Range.",1,49,8,4,56.24105018052598,0,2023-01-16 18:00:00
Soyo technology sucks.,0,22,3,4,45.868114020816364,0,2023-01-16 19:00:00
Great Hands Free Device.,1,24,4,5,58.17203095538689,0,2023-01-16 20:00:00
"you can even take self portraits with the outside (exterior) display, very cool.",1,80,13,5,53.963497073209965,1,2023-01-16 21:00:00
Same problem as others have mentioned.,0,38,6,2,59.93802331600013,1,2023-01-16 22:00:00
After trying many many handsfree gadgets this is the one that finally works well.,1,81,14,5,40.521354463551305,1,2023-01-16 23:00:00
Magical Help.,1,13,2,5,53.0156486679338,0,2023-01-17 00:00:00
The worst piece of crap ever along with the Verizon customer service.,0,69,12,3,42.057927408277266,0,2023-01-17 01:00:00
Poor sound quality.,0,19,3,4,44.396268609117264,1,2023-01-17 02:00:00
The best phone in market :).,1,28,6,5,48.8251638965511,0,2023-01-17 03:00:00
It worked very well.,1,20,4,4,56.21031342559016,0,2023-01-17 04:00:00
The company shipped my product very promptly and it works well.,1,63,11,4,59.52250407597886,0,2023-01-17 05:00:00
Exactly what I wanted.,1,22,4,5,53.04820241593555,1,2023-01-17 06:00:00
The picture resolution is far below what other comparably-priced phones are offering today.,0,91,13,4,42.533003465020016,0,2023-01-17 07:00:00
This is a great deal.,1,21,5,4,42.6407100683121,0,2023-01-17 08:00:00
"Excellent product, I am very satisfied with the purchase.",1,57,9,4,52.12746904766674,1,2023-01-17 09:00:00
I highly recommend these and encourage people to give them a try.,1,65,12,4,37.16331437304907,0,2023-01-17 10:00:00
Better than you'd expect.,1,25,4,5,33.31422339394184,0,2023-01-17 11:00:00
"Using all earpieces, left or right, this thing will not stay on my ear.",0,71,14,3,40.638664729223294,0,2023-01-17 12:00:00
Great product and price.,1,24,4,5,38.61716974962245,0,2023-01-17 13:00:00
"Sounds good reasonably priced and effective, Its that simple !",1,62,10,5,38.8892436136797,1,2023-01-17 14:00:00
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,78,14,4,37.0082325314973,0,2023-01-17 15:00:00
what a disappointment,0,21,3,3,31.262795689090858,0,2023-01-17 16:00:00
Very prompt service.,1,20,3,5,30.536218042002414,1,2023-01-17 17:00:00
Excellent product for the price.,1,32,5,5,59.63167169208094,1,2023-01-17 18:00:00
Very pleased with this headset.,1,31,5,5,42.83319401207587,1,2023-01-17 19:00:00
don't waste your money and time.,0,32,6,3,41.529799414790446,0,2023-01-17 20:00:00
I especially love the long battery life.,1,40,7,5,50.389418480792095,0,2023-01-17 21:00:00
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,132,24,2,36.547616635951925,1,2023-01-17 22:00:00
Works great.,1,12,2,5,58.49883551850676,1,2023-01-17 23:00:00
Plantronics Bluetooth Excelent Buy.,1,35,4,5,53.590350432466565,0,2023-01-18 00:00:00
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,122,21,3,32.68233006936779,0,2023-01-18 01:00:00
I'll be looking for a new earpiece.,0,35,7,2,42.52742327354785,0,2023-01-18 02:00:00
I highly recommend this device to everyone!,1,43,7,5,56.37354922686494,1,2023-01-18 03:00:00
Jawbone Era is awesome too!,1,27,5,5,58.34196066874231,0,2023-01-18 04:00:00
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,148,26,3,44.022045337496095,0,2023-01-18 05:00:00
After a year the battery went completely dead on my headset.,0,60,11,3,48.40234167632123,0,2023-01-18 06:00:00
"I have used several phone in two years, but this one is the best.",1,65,14,4,35.01101838276226,1,2023-01-18 07:00:00
An Awesome New Look For Fall 2000!.,1,35,7,5,59.7350587841093,1,2023-01-18 08:00:00
This is the first phone I've had that has been so cheaply made.,0,63,13,3,36.950151041503304,0,2023-01-18 09:00:00
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,77,16,4,58.281953224053765,1,2023-01-18 10:00:00
The plastic breaks really easy on this clip.,0,44,8,3,49.48939946977106,1,2023-01-18 11:00:00
Price is good too.,1,18,4,5,48.232103846365774,0,2023-01-18 12:00:00
Don't make the same mistake I did.,0,34,7,2,45.38065533049526,0,2023-01-18 13:00:00
Oh and I forgot to also mention the weird color effect it has on your phone.,0,76,16,2,36.92009435153276,0,2023-01-18 14:00:00
I'm using it with an iriver SPINN (with case) and it fits fine.,1,63,13,4,35.29584096016525,1,2023-01-18 15:00:00
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,76,15,2,36.61458627210526,0,2023-01-18 16:00:00
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,109,20,5,35.593147864327634,1,2023-01-18 17:00:00
"every thing on phone work perfectly, she like it.",1,49,9,5,53.3875342070026,1,2023-01-18 18:00:00
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,115,19,2,40.5037577750019,0,2023-01-18 19:00:00
IT'S REALLY EASY.,1,17,3,5,31.73528029690189,1,2023-01-18 20:00:00
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,69,12,5,59.07307890422434,0,2023-01-18 21:00:00
Fantastic earphones.,1,20,2,5,56.51357654890277,0,2023-01-18 22:00:00
It finds my cell phone right away when I enter the car.,1,55,12,5,57.83256849585639,1,2023-01-18 23:00:00
Low Quality.,0,12,2,2,59.847234679393054,1,2023-01-19 00:00:00
I highly recommend this modest priced cellular phone.,1,53,8,5,35.21685747658462,0,2023-01-19 01:00:00
But it does get better reception and clarity than any phone I've had before.,1,76,14,5,41.887260567079764,1,2023-01-19 02:00:00
Warning - Stay away.,0,20,4,3,52.74715427112274,1,2023-01-19 03:00:00
I wish I could return the unit and get back my money.,0,53,12,4,50.88061854161377,0,2023-01-19 04:00:00
Awsome Device Works Great!!.,1,28,4,4,34.61687719019565,1,2023-01-19 05:00:00
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,94,21,4,54.474993749718536,0,2023-01-19 06:00:00
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,113,22,4,36.73321715509982,0,2023-01-19 07:00:00
Very Displeased.,0,16,2,3,36.71452844467869,0,2023-01-19 08:00:00
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,102,20,4,46.10923268680241,1,2023-01-19 09:00:00
They made this case too small and is very difficult to install.,0,63,12,3,47.78819804525109,1,2023-01-19 10:00:00
Restored my phone to like new performance.,1,42,7,4,47.402586235134336,0,2023-01-19 11:00:00
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,103,18,5,32.74460512193264,0,2023-01-19 12:00:00
"I searched the Internet, and found this one to be the best value.",1,65,13,4,56.32382587891141,1,2023-01-19 13:00:00
Does not fit.,0,13,3,3,37.96800127766118,0,2023-01-19 14:00:00
Very happy with this product.,1,29,5,5,33.88544763848412,1,2023-01-19 15:00:00
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,104,20,5,56.662442396069316,1,2023-01-19 16:00:00
There's really nothing bad I can say about this headset.,0,56,10,2,58.6695449468926,0,2023-01-19 17:00:00
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,82,17,4,55.86382851796352,1,2023-01-19 18:00:00
Portable and it works.,1,22,4,4,54.285482241746344,0,2023-01-19 19:00:00
"My colleague & I now get great reception.A little expensive, but performance is great.",1,86,14,5,49.65725941917065,1,2023-01-19 20:00:00
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,135,29,3,46.52572111827418,1,2023-01-19 21:00:00
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,110,22,2,32.609602797342305,1,2023-01-19 22:00:00
Not good when wearing a hat or sunglasses.,0,42,8,4,42.25359639212096,0,2023-01-19 23:00:00
Timely shipment and quality product.,1,36,5,5,41.18065551036942,1,2023-01-20 00:00:00
Nice solid keyboard.,1,20,3,5,37.79261351280979,0,2023-01-20 01:00:00
Very well made and fits my Surefire GX2 perfectly.,1,50,9,5,51.702603410657545,0,2023-01-20 02:00:00
Horrible phone.,0,15,2,2,44.87627205236312,0,2023-01-20 03:00:00
BT50 battery junk!.,0,19,3,2,32.43138647722944,0,2023-01-20 04:00:00
We would recommend these to others.,1,35,6,4,36.60549605849434,0,2023-01-20 05:00:00
Cant get the software to work with my computer.,0,47,9,2,50.49776290978788,1,2023-01-20 06:00:00
Disappointed!.,0,14,1,2,32.283925784709005,1,2023-01-20 07:00:00
poor voice clarity.,0,19,3,4,55.53620742146306,0,2023-01-20 08:00:00
The battery works great!,1,24,4,5,44.854395810419234,1,2023-01-20 09:00:00
No buyers remorse on this one!.,0,31,6,2,44.41759731979944,0,2023-01-20 10:00:00
Very disappointed in AccessoryOne.,0,34,4,3,47.77223353978553,1,2023-01-20 11:00:00
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,99,16,2,54.740428977754476,1,2023-01-20 12:00:00
"Looks great and is strong.""",1,27,5,5,40.43427623706579,0,2023-01-20 13:00:00
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,79,18,5,50.34048457677191,1,2023-01-20 14:00:00
The update procedure is difficult and cumbersome.,0,49,7,3,46.97195891987373,0,2023-01-20 15:00:00
Disappointment.. I hate anything that goes in my ear.,0,53,9,4,38.010848105082644,0,2023-01-20 16:00:00
Great software for Motorolas.,1,29,4,4,56.358899590654744,1,2023-01-20 17:00:00
The delivery was on time.,1,25,5,5,53.92278064820785,0,2023-01-20 18:00:00
Very easy to use.,1,17,4,4,49.75355503975277,0,2023-01-20 19:00:00
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,57,10,2,55.51745187282726,0,2023-01-20 20:00:00
The volume switch rocketed out of the unit to a destination unknown.,0,68,12,3,56.01882602879407,1,2023-01-20 21:00:00
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,130,21,4,51.25088930145104,0,2023-01-20 22:00:00
I'd like to return it.,0,22,5,4,55.11039985091016,0,2023-01-20 23:00:00
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,97,16,4,50.92414385007851,1,2023-01-21 00:00:00
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,97,14,3,50.40422315280901,1,2023-01-21 01:00:00
"After charging overnight, these batteries work great.",1,53,7,5,48.55834134645553,0,2023-01-21 02:00:00
You won't regret it!,1,20,4,5,52.58149918672923,0,2023-01-21 03:00:00
I love this phone!.,1,19,4,4,34.75815315879221,0,2023-01-21 04:00:00
A Disappointment.,0,17,2,3,56.426122775967855,0,2023-01-21 05:00:00
Its not user friendly.,0,22,4,3,56.15530583235696,0,2023-01-21 06:00:00
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,140,24,2,30.877418491036774,1,2023-01-21 07:00:00
"Then I exchanged for the same phone, even that had the same problem.",0,68,13,4,54.77450251694288,1,2023-01-21 08:00:00
This results in the phone being either stuck at max volume or mute.,0,67,13,2,33.86609602420336,1,2023-01-21 09:00:00
This PDA rocks.,1,15,3,5,40.053565627774255,0,2023-01-21 10:00:00
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,101,17,5,52.30524768874823,1,2023-01-21 11:00:00
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,111,19,4,34.82279688144925,0,2023-01-21 12:00:00
I had Verizon 2 years ago and really liked their service.,1,57,11,5,54.53901072357186,1,2023-01-21 13:00:00
Pretty piece of junk.,0,21,4,3,54.964025338732256,1,2023-01-21 14:00:00
Plug was the wrong size.,0,24,5,3,45.224032012825084,0,2023-01-21 15:00:00
Works as described.,1,19,3,5,30.191576151505007,1,2023-01-21 16:00:00
Save your money.... I've had this item for 11 months now.,0,57,11,2,38.61114399524738,0,2023-01-21 17:00:00
Bad Purchase.,0,13,2,3,48.507807551272265,1,2023-01-21 18:00:00
WELL IM SATISFIED.,1,18,3,5,59.435585340822705,0,2023-01-21 19:00:00
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,81,14,5,68.95440581050005,0,2023-01-21 20:00:00
This battery is an excellent bargain!,1,37,6,5,57.79410743192479,1,2023-01-21 21:00:00
Defective crap.,0,15,2,4,69.02017109298833,0,2023-01-21 22:00:00
I would have given no star if I was able.,0,41,10,3,66.19956139147567,1,2023-01-21 23:00:00
I wear glasses and it fits fine with them.,1,42,9,4,73.39536185453431,0,2023-01-22 00:00:00
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,112,19,2,53.20941916480875,1,2023-01-22 01:00:00
I would not recommend this item to anyone.,0,42,8,2,72.83083707506084,1,2023-01-22 02:00:00
The holster that arrived did not match the photo in the ad.,0,59,12,4,66.23799736028332,1,2023-01-22 03:00:00
great...no problems at all!.,1,28,4,5,78.88976011576983,1,2023-01-22 04:00:00
"As an earlier review noted, plug in this charger and nothing happens.",0,69,12,2,60.25616498116058,0,2023-01-22 05:00:00
This frog phone charm is adorable and very eye catching.,1,56,10,5,68.97865679401845,0,2023-01-22 06:00:00
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,106,22,3,77.96084316530053,1,2023-01-22 07:00:00
The sound is clear and the people I talk to on it are amazed at the quality too.,1,80,18,5,53.07529183972038,1,2023-01-22 08:00:00
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,116,22,4,78.11685461709354,1,2023-01-22 09:00:00
"very good product, well made.",1,29,5,4,70.6365716690244,1,2023-01-22 10:00:00
Mobile Phone Tools are a must have.,1,35,7,4,52.03511177315516,1,2023-01-22 11:00:00
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,83,16,5,59.02890700840449,1,2023-01-22 12:00:00
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,145,25,5,71.24516265935844,1,2023-01-22 13:00:00
The phone is sturdy and waterproof.,1,35,6,4,52.02051804406315,0,2023-01-22 14:00:00
I am not impressed with this and i would not recommend this item to anyone.,0,75,15,4,67.4651138052882,1,2023-01-22 15:00:00
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,93,19,2,60.3764917085887,1,2023-01-22 16:00:00
Thanks again to Amazon for having the things I need for a good price!,1,69,14,4,68.62746553302432,1,2023-01-22 17:00:00
I ended up sliding it on the edge of my pants or back pockets instead.,1,70,15,5,51.37226101437538,0,2023-01-22 18:00:00
I had to go to a store and bought a new NOKIA phone which is working great.,1,75,17,5,76.14610418457129,1,2023-01-22 19:00:00
Works great!.,1,13,2,4,79.2046690753219,1,2023-01-22 20:00:00
REALLY UGLY.,0,12,2,2,79.06633565857075,1,2023-01-22 21:00:00
"horrible, had to switch 3 times.",0,32,6,4,72.48955495228773,1,2023-01-22 22:00:00
The noise shield is incrediable.,1,32,5,5,53.90258720391896,1,2023-01-22 23:00:00
No real improvement.,0,20,3,3,72.74789587787068,1,2023-01-23 00:00:00
Razr Battery - Good buy.,1,24,5,4,50.737607493764045,0,2023-01-23 01:00:00
Keep up the good work Amazon!!,1,30,6,5,50.663706545869914,1,2023-01-23 02:00:00
They refuse to refund or replace.,0,33,6,3,59.70830657448624,0,2023-01-23 03:00:00
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,149,22,4,64.65929571213996,1,2023-01-23 04:00:00
So I basically threw my money out the window for nothing.,0,57,11,4,73.1122225342338,1,2023-01-23 05:00:00
Great case and price!,1,21,4,4,70.49886129819515,0,2023-01-23 06:00:00
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0,131,26,3,63.37708119130245,1,2023-01-23 07:00:00
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,128,26,4,58.208799988449975,0,2023-01-23 08:00:00
"Small, sleek, impressive looking, practical setup with ample storage in place.",1,78,11,5,79.91373500473134,1,2023-01-23 09:00:00
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,103,18,5,62.78543906707919,1,2023-01-23 10:00:00
none of the new ones have ever quite worked properly.,0,53,10,3,63.541610729890266,1,2023-01-23 11:00:00
I am glad I purchased it.,1,25,6,5,54.90871463575007,0,2023-01-23 12:00:00
I've missed numerous calls because of this reason.,0,50,8,3,73.84428646249788,1,2023-01-23 13:00:00
"Perhaps my phone is defective, but people cannot hear me when I use this.",0,73,14,4,70.81046677344466,1,2023-01-23 14:00:00
Don't buy this product.,0,23,4,2,56.62308838366281,1,2023-01-23 15:00:00
"sucked, most of the stuff does not work with my phone.",0,54,11,4,52.47143136847528,1,2023-01-23 16:00:00
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,123,22,5,70.4149790622414,0,2023-01-23 17:00:00
Worst software ever used.... If I could give this zero stars I would.,0,69,13,2,69.63533642843406,1,2023-01-23 18:00:00
Trying to make a call on these is an exercise in frustration.,0,61,12,3,58.19778580994628,0,2023-01-23 19:00:00
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0,85,16,2,78.5259068675123,1,2023-01-23 20:00:00
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1,111,21,5,54.531736753427005,1,2023-01-23 21:00:00
"I love the camera, it's really pretty good quality.",1,51,9,4,62.97004403127806,0,2023-01-23 22:00:00
Thank you for such great service.,1,33,6,4,78.30847760502797,0,2023-01-23 23:00:00
Its a total package.,1,20,4,4,62.59181950778367,0,2023-01-24 00:00:00
"The seller is very understanding and patient, I would definitely buy from them again.",1,85,14,4,69.15577842992256,1,2023-01-24 01:00:00
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0,85,14,2,61.92783193888383,1,2023-01-24 02:00:00
It's AGGRAVATING!,0,17,2,3,58.2264560704601,1,2023-01-24 03:00:00
Great product for the price!.,1,29,5,4,79.51932943879484,0,2023-01-24 04:00:00
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1,95,18,4,62.28002018945129,0,2023-01-24 05:00:00
